Threshold,TP,FP,FN,TN
0,161,3487,0,0
1,133,2232,28,1255
2,101,1336,60,2151
3,82,804,79,2683
4,55,476,106,3011
5,43,343,118,3144
6,38,219,123,3268
7,34,149,127,3338
8,32,80,129,3407
9,24,64,137,3423
10,17,40,144,3447
11,9,22,152,3465
12,8,10,153,3477
13,3,1,158,3486
14,1,1,160,3486
